,api,api.1,api.1.1,api.1.1.1,api.1.1.1.1,api.1.1.1.1.1,api
0,'KERNEL32.dll','KERNEL32.dll','COMCTL32.dll','KERNEL32.dll','KERNEL32.dll','KERNEL32.dll','KERNEL32.dll'
1,'QueryPerformanceCounter','QueryPerformanceCounter','InitCommonControlsEx','QueryPerformanceCounter','QueryPerformanceCounter','QueryPerformanceCounter','QueryPerformanceCounter'
2,'GetCurrentProcessId','GetCurrentProcessId','KERNEL32.DLL','GetCurrentProcessId','GetCurrentProcessId','GetCurrentProcessId','GetCurrentProcessId'
3,'GetCurrentThreadId','GetCurrentThreadId','LoadLibraryA','GetCurrentThreadId','GetCurrentThreadId','GetCurrentThreadId','GetCurrentThreadId'
4,'GetSystemTimeAsFileTime','GetSystemTimeAsFileTime','ExitProcess','GetSystemTimeAsFileTime','GetSystemTimeAsFileTime','GetSystemTimeAsFileTime','GetSystemTimeAsFileTime'
5,'InitializeSListHead','InitializeSListHead','GetProcAddress','InitializeSListHead','InitializeSListHead','InitializeSListHead','InitializeSListHead'
6,'IsDebuggerPresent','IsDebuggerPresent','VirtualProtect','IsDebuggerPresent','IsDebuggerPresent','IsDebuggerPresent','IsDebuggerPresent'
7,'UnhandledExceptionFilter','UnhandledExceptionFilter','USER32.dll','UnhandledExceptionFilter','UnhandledExceptionFilter','UnhandledExceptionFilter','UnhandledExceptionFilter'
8,'SetUnhandledExceptionFilter','SetUnhandledExceptionFilter','MessageBoxW','SetUnhandledExceptionFilter','SetUnhandledExceptionFilter','SetUnhandledExceptionFilter','SetUnhandledExceptionFilter'
9,'GetStartupInfoW','GetStartupInfoW','WINMM.dll','GetStartupInfoW','GetStartupInfoW','GetStartupInfoW','GetStartupInfoW'
10,'IsProcessorFeaturePresent','IsProcessorFeaturePresent','timeGetTime','IsProcessorFeaturePresent','IsProcessorFeaturePresent','IsProcessorFeaturePresent','IsProcessorFeaturePresent'
11,'GetModuleHandleW','GetModuleHandleW',,'GetModuleHandleW','GetModuleHandleW','GetModuleHandleW','GetModuleHandleW'
12,'GetCurrentProcess','GetCurrentProcess',,'GetCurrentProcess','GetCurrentProcess','GetCurrentProcess','GetCurrentProcess'
13,'TerminateProcess','TerminateProcess',,'TerminateProcess','TerminateProcess','TerminateProcess','TerminateProcess'
14,'RtlUnwind','RtlUnwind',,'RtlUnwind','RtlUnwind','RtlUnwind','RtlUnwind'
15,'GetLastError','GetLastError',,'GetLastError','GetLastError','GetLastError','GetLastError'
16,'SetLastError','SetLastError',,'SetLastError','SetLastError','SetLastError','SetLastError'
17,'EnterCriticalSection','EnterCriticalSection',,'EnterCriticalSection','EnterCriticalSection','EnterCriticalSection','EnterCriticalSection'
18,'LeaveCriticalSection','LeaveCriticalSection',,'LeaveCriticalSection','LeaveCriticalSection','LeaveCriticalSection','LeaveCriticalSection'
19,'DeleteCriticalSection','DeleteCriticalSection',,'DeleteCriticalSection','DeleteCriticalSection','DeleteCriticalSection','DeleteCriticalSection'
20,'InitializeCriticalSectionAndSpinCount','InitializeCriticalSectionAndSpinCount',,'InitializeCriticalSectionAndSpinCount','InitializeCriticalSectionAndSpinCount','InitializeCriticalSectionAndSpinCount','InitializeCriticalSectionAndSpinCount'
21,'TlsAlloc','TlsAlloc',,'TlsAlloc','TlsAlloc','TlsAlloc','TlsAlloc'
22,'TlsGetValue','TlsGetValue',,'TlsGetValue','TlsGetValue','TlsGetValue','TlsGetValue'
23,'TlsSetValue','TlsSetValue',,'TlsSetValue','TlsSetValue','TlsSetValue','TlsSetValue'
24,'TlsFree','TlsFree',,'TlsFree','TlsFree','TlsFree','TlsFree'
25,'FreeLibrary','FreeLibrary',,'FreeLibrary','FreeLibrary','FreeLibrary','FreeLibrary'
26,'GetProcAddress','GetProcAddress',,'GetProcAddress','GetProcAddress','GetProcAddress','GetProcAddress'
27,'LoadLibraryExW','LoadLibraryExW',,'LoadLibraryExW','LoadLibraryExW','LoadLibraryExW','LoadLibraryExW'
28,'RaiseException','RaiseException',,'RaiseException','RaiseException','RaiseException','RaiseException'
29,'GetStdHandle','GetStdHandle',,'GetStdHandle','GetStdHandle','GetStdHandle','GetStdHandle'
30,'WriteFile','WriteFile',,'WriteFile','WriteFile','WriteFile','WriteFile'
31,'GetModuleFileNameW','GetModuleFileNameW',,'GetModuleFileNameW','GetModuleFileNameW','GetModuleFileNameW','GetModuleFileNameW'
32,'GetModuleFileNameA','GetModuleFileNameA',,'GetModuleFileNameA','GetModuleFileNameA','GetModuleFileNameA','GetModuleFileNameA'
33,'MultiByteToWideChar','MultiByteToWideChar',,'MultiByteToWideChar','MultiByteToWideChar','MultiByteToWideChar','MultiByteToWideChar'
34,'WideCharToMultiByte','WideCharToMultiByte',,'WideCharToMultiByte','WideCharToMultiByte','WideCharToMultiByte','WideCharToMultiByte'
35,'ExitProcess','ExitProcess',,'ExitProcess','ExitProcess','ExitProcess','ExitProcess'
36,'GetModuleHandleExW','GetModuleHandleExW',,'GetModuleHandleExW','GetModuleHandleExW','GetModuleHandleExW','GetModuleHandleExW'
37,'GetACP','GetACP',,'GetACP','GetACP','GetACP','GetACP'
38,'OutputDebugStringW','OutputDebugStringW',,'OutputDebugStringW','OutputDebugStringW','OutputDebugStringW','OutputDebugStringW'
39,'CloseHandle','CloseHandle',,'CloseHandle','CloseHandle','CloseHandle','CloseHandle'
40,'HeapAlloc','HeapAlloc',,'HeapAlloc','HeapAlloc','HeapAlloc','HeapAlloc'
41,'HeapFree','HeapFree',,'HeapFree','HeapFree','HeapFree','HeapFree'
42,'FindClose','FindClose',,'FindClose','FindClose','FindClose','FindClose'
43,'FindFirstFileExA','FindFirstFileExA',,'FindFirstFileExA','FindFirstFileExA','FindFirstFileExA','FindFirstFileExA'
44,'FindNextFileA','FindNextFileA',,'FindNextFileA','FindNextFileA','FindNextFileA','FindNextFileA'
45,'IsValidCodePage','IsValidCodePage',,'IsValidCodePage','IsValidCodePage','IsValidCodePage','IsValidCodePage'
46,'GetOEMCP','GetOEMCP',,'GetOEMCP','GetOEMCP','GetOEMCP','GetOEMCP'
